niche,scene_id,component_name,duration_sec,output_file,script,startSec
ds,scene-01,NumberedTips,7,ds_scene-01_NumberedTips.mp4,Column names with trailing spaces. Dates formatted three different ways,138.58
ds,scene-02,CounterReveal,6,ds_scene-02_CounterReveal.mp4,I spent two weeks on that dataset before I ran a single analysis,277.15
ds,scene-03,AtmosphericQuote,6,ds_scene-03_AtmosphericQuote.mp4,makes data interrogation feel like conversation instead of combat,79.64
ds,scene-04,NumberedTips,7,ds_scene-04_NumberedTips.mp4,"loading and exploring, selecting and filtering, cleaning messy data, and aggregating",87.56
ds,scene-05,DataPipelineFlow,7,ds_scene-05_DataPipelineFlow.mp4,"loading and exploring, selecting and filtering, cleaning messy data, and aggregating",87.56
ds,scene-06,CounterReveal,5,ds_scene-06_CounterReveal.mp4,make it workable in under an hour,100.04
ds,scene-07,ConceptExplainer,6,ds_scene-07_ConceptExplainer.mp4,A DataFrame column is a NumPy array with a name,415.73
ds,scene-08,CodeAnnotation,7,ds_scene-08_CodeAnnotation.mp4,"Before you analyze anything, you orient yourself",133.8
ds,scene-09,DataVizReveal,6,ds_scene-09_DataVizReveal.mp4,"print(df.shape)       # e.g., (15420, 12)",554.3
ds,scene-10,CounterReveal,5,ds_scene-10_CounterReveal.mp4,Run df.describe() and in thirty seconds you know,692.88
ds,scene-11,WordReveal,5,ds_scene-11_WordReveal.mp4,The isnull().sum() line is the one most beginners skip. Don't skip it,831.45
ds,scene-12,CounterReveal,5,ds_scene-12_CounterReveal.mp4,This is sixty percent of what you actually do in Pandas,970.03
ds,scene-13,CodeAnnotation,7,ds_scene-13_CodeAnnotation.mp4,"high_value = df.loc[df['revenue'] > 10000, ['customer_id', 'revenue']]",1108.6
ds,scene-14,ToolComparison,7,ds_scene-14_ToolComparison.mp4,"use & and | for boolean filters, not Python's and and or",1247.18
ds,scene-15,AtmosphericQuote,5,ds_scene-15_AtmosphericQuote.mp4,Cleaning is analysis. You can't separate them,518.04
ds,scene-16,CodeAnnotation,7,ds_scene-16_CodeAnnotation.mp4,The errors='coerce' argument is doing critical work here,1385.75
ds,scene-17,CodeAnnotation,7,ds_scene-17_CodeAnnotation.mp4,The .agg() pattern with named aggregations — commit that to memory,1524.33
ds,scene-18,ToolComparison,7,ds_scene-18_ToolComparison.mp4,"grouped DataFrames are for computation, pivot tables are for communication",1662.9
ds,scene-19,TransformationArc,6,ds_scene-19_TransformationArc.mp4,It removes the mechanical friction that gets between you and thinking,1729.4
ds,scene-20,HabitLoop,6,ds_scene-20_HabitLoop.mp4,Run through these four sections in order,1781.64
life,scene-01,AtmosphericQuote,6,life_scene-01_AtmosphericQuote.mp4,they have a handful of small habits they actually do,29.97
life,scene-02,TransformationArc,6,life_scene-02_TransformationArc.mp4,"Busy, but not moving. Organized, but not output",59.94
life,scene-03,CounterReveal,6,life_scene-03_CounterReveal.mp4,"Seven of them, specifically. And none of them require an app",89.91
life,scene-04,NumberedTips,8,life_scene-04_NumberedTips.mp4,"I scan my task list, note what's unfinished",119.88
life,scene-05,CounterReveal,5,life_scene-05_CounterReveal.mp4,Mine takes four minutes,149.84
life,scene-06,ImageTextReveal,6,life_scene-06_ImageTextReveal.mp4,I realized I hadn't heard a word she'd said,179.81
life,scene-07,ConceptExplainer,6,life_scene-07_ConceptExplainer.mp4,our brains fixate on incomplete work until we register a closure,209.78
life,scene-08,CounterReveal,5,life_scene-08_CounterReveal.mp4,I spend twenty minutes writing down everything that's in my head,239.75
life,scene-09,CounterReveal,5,life_scene-09_CounterReveal.mp4,my brain had become a browser with fifty tabs open,269.72
life,scene-10,BrowserTabOverload,6,life_scene-10_BrowserTabOverload.mp4,my brain had become a browser with fifty tabs open,299.69
life,scene-11,ConceptExplainer,6,life_scene-11_ConceptExplainer.mp4,It's called offloading,329.66
life,scene-12,WordReveal,5,life_scene-12_WordReveal.mp4,identify your most dreaded task the night before and do it first,359.63
life,scene-13,ToolComparison,7,life_scene-13_ToolComparison.mp4,Multiple frogs doesn't multiply the benefit — it multiplies the drag,389.6
life,scene-14,ToolComparison,6,life_scene-14_ToolComparison.mp4,To-do lists measure what's left. Done lists measure what happened,419.57
life,scene-15,DataVizReveal,7,life_scene-15_DataVizReveal.mp4,Ninety minutes is better,449.54
life,scene-16,CounterReveal,5,life_scene-16_CounterReveal.mp4,every context switch costs fifteen to twenty minutes of recovery time,479.5
life,scene-17,NumberedTips,7,life_scene-17_NumberedTips.mp4,"exactly three priorities, written tonight",509.47
