Week,Date,Niche,Title,Slug,Status,Substack URL,Medium URL,YouTube URL,Shorts Count,Social Scheduled,Buffer Slot,Notes
2026-W22,2026-05-25,DS,2026-05-25_data_science_tech_python-for-data-science-tutorial-210,2026-05-25_data_science_tech_python-for-data-science-tutorial-210,Script,,,,0,Manual,Live,
2026-W22,2026-05-26,Life,2026-05-26_life_self_dev_mental-health-openness-and-breaking-stigmas,2026-05-26_life_self_dev_mental-health-openness-and-breaking-stigmas,Script,,,,0,Manual,Live,
2026-W22,2026-05-27,Poetry,2026-05-27_poetry_quotes_intoxicated-senses,2026-05-27_poetry_quotes_intoxicated-senses,Script,,,,0,Manual,Live,
2026-W24,2026-06-08,Life,2026-06-08_life_self_dev_the-simple-habit-that-changed-my-productivity,2026-06-08_life_self_dev_the-simple-habit-that-changed-my-productivity,Draft,,,,0,Manual,Live,
2026-W24,2026-06-08,Poetry,2026-06-08_poetry_quotes_poetry-dips-its-fingers-in-every-colour,2026-06-08_poetry_quotes_poetry-dips-its-fingers-in-every-colour,Draft,,,,0,Manual,Live,
2026-W24,2026-06-10,DS,2026-06-10_data_science_tech_python-for-data-science-tutorial-4-pandas-for-data-analysis,2026-06-10_data_science_tech_python-for-data-science-tutorial-4-pandas-for-data-analysis,Draft,,,,0,Manual,Live,
2026-W25,2026-06-16,DS,2026-06-16_data_science_tech_ai-prompt-anatomy-travel,2026-06-16_data_science_tech_ai-prompt-anatomy-travel,Draft,,,,0,Manual,Live,
2026-W25,2026-06-16,DS,2026-06-16_data_science_tech_python-for-data-science-tutorial-5-out-of-10-for-visualizati,2026-06-16_data_science_tech_python-for-data-science-tutorial-5-out-of-10-for-visualizati,Script,,,,0,Manual,Live,
2026-W25,2026-06-16,Life,2026-06-16_life_self_dev_recursive-self-improvement,2026-06-16_life_self_dev_recursive-self-improvement,Script,,,,0,Manual,Live,
2026-W25,2026-06-16,Poetry,2026-06-16_poetry_quotes_you-have-gotta-dance-like-there-is-nobody-watching,2026-06-16_poetry_quotes_you-have-gotta-dance-like-there-is-nobody-watching,Script,,,,0,Manual,Live,
2026-W26,2026-06-26,DS,2026-06-26_data_science_tech_why-data-science-graduates-are-struggling-in-2026-its-not-th,2026-06-26_data_science_tech_why-data-science-graduates-are-struggling-in-2026-its-not-th,Draft,,,,0,Manual,Live,
2026-W26,2026-06-26,Life,2026-06-26_life_self_dev_the-self-care-morning-routine-that-doesnt-require-waking-up,2026-06-26_life_self_dev_the-self-care-morning-routine-that-doesnt-require-waking-up,Draft,,,,0,Manual,Live,
2026-W26,2026-06-26,Poetry,2026-06-26_poetry_quotes_i-wrote-a-poem-every-time-life-broke-me-heres-what-the-words,2026-06-26_poetry_quotes_i-wrote-a-poem-every-time-life-broke-me-heres-what-the-words,Draft,,,,0,Manual,Live,
2026-W27,2026-06-30,DS,2026-06-30_data_science_tech_the-free-local-ai-setup-that-replaced-my-200month-data-scien,2026-06-30_data_science_tech_the-free-local-ai-setup-that-replaced-my-200month-data-scien,Draft,,,,0,Manual,Live,
2026-W27,2026-06-30,Life,2026-06-30_life_self_dev_the-5-minute-habit-that-replaced-3-hours-of-self-help-conten,2026-06-30_life_self_dev_the-5-minute-habit-that-replaced-3-hours-of-self-help-conten,Draft,,,,0,Manual,Live,
2026-W27,2026-07-01,DS,2026-07-01_data_science_tech_i-tracked-every-data-science-job-posting-for-30-days-heres-t,2026-07-01_data_science_tech_i-tracked-every-data-science-job-posting-for-30-days-heres-t,Draft,,,,0,Manual,Live,
