niche,scene_id,component_name,duration_sec,output_file,script,startSec,matched
life,scene-01,AtmosphericQuote,6,life_scene-01_AtmosphericQuote.mp4,I spent three years building the perfect productivity system,0.0,True
life,scene-02,TransformationArc,6,life_scene-02_TransformationArc.mp4,"busy, sure, organized technically, but not moving",19.34,True
life,scene-03,CounterReveal,6,life_scene-03_CounterReveal.mp4,It was stripping back to seven small habits,40.36,True
life,scene-04,NumberedTips,8,life_scene-04_NumberedTips.mp4,It happened at the end of the day,66.12,True
life,scene-05,CounterReveal,5,life_scene-05_CounterReveal.mp4,My shutdown ritual takes four minutes,89.42,True
life,scene-06,ImageTextReveal,6,life_scene-06_ImageTextReveal.mp4,suddenly realizing that I hadn't actually heard the last few minutes,115.04,True
life,scene-07,ConceptExplainer,6,life_scene-07_ConceptExplainer.mp4,our brains fixate on unfinished work until we register closure,143.88,True
life,scene-08,CounterReveal,5,life_scene-08_CounterReveal.mp4,I spend 20 minutes writing down everything that is in my head,175.06,True
life,scene-09,CounterReveal,5,life_scene-09_CounterReveal.mp4,my brain had become a browser with fifty tabs open,186.04,False
life,scene-10,BrowserTabOverload,6,life_scene-10_BrowserTabOverload.mp4,my brain had become a browser with fifty tabs open,197.02,False
life,scene-11,ConceptExplainer,6,life_scene-11_ConceptExplainer.mp4,Getting information out of your head and onto paper frees up capacity,208.0,True
life,scene-12,WordReveal,5,life_scene-12_WordReveal.mp4,"Do your most dreaded tasks first, but only one frog",268.78,True
life,scene-13,ToolComparison,7,life_scene-13_ToolComparison.mp4,then I would have a frog festival and wonder why,276.18,True
life,scene-14,ToolComparison,6,life_scene-14_ToolComparison.mp4,To-do lists create a permanent state of deficit,326.44,True
life,scene-15,DataVizReveal,7,life_scene-15_DataVizReveal.mp4,one 90-minute block of deep work per day,357.86,True
life,scene-16,CounterReveal,5,life_scene-16_CounterReveal.mp4,The first 15 to 20 minutes of any focus session are transitional,366.66,True
life,scene-17,NumberedTips,7,life_scene-17_NumberedTips.mp4,write exactly three priorities for tomorrow,425.18,True
life,scene-18,AtmosphericQuote,5,life_scene-18_AtmosphericQuote.mp4,What gets measured gets noticed,509.78,True
life,scene-19,HandwrittenReveal,7,life_scene-19_HandwrittenReveal.mp4,Start with one. The one that stings a little when you read it,577.04,True
